Question,Answer,BotId
how to create cd analytics report from jenkins job,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home",5b3470df8982d029e48a4c0d
creation of cd analytics report,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home",5b3470df8982d029e48a4c0d
produce cd analytics report from jenkins job,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home",5b3470df8982d029e48a4c0d
report of cd analytics from jenkins,"By default, every Jenkins job is enabled for CD analytics report generation, you can access the report from below URL:
https://cdanalytics.cisco.com/software/home",5b3470df8982d029e48a4c0d
How to enable jenkins for performing git push operation for new tag creation while performing artifactory release staging build?,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called.",5b3470df8982d029e48a4c0d
while performing artifactory release staging build enable jenkins for performing git push operation for new tag creation,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called.",5b3470df8982d029e48a4c0d
enbaling jenkins for performing git push operation for new tag creation,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called.",5b3470df8982d029e48a4c0d
enable jenkins for performing git push operation,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called.",5b3470df8982d029e48a4c0d
how to access jenkins for performing git push operation for new tag creation while doing artifactory release staging build,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called.",5b3470df8982d029e48a4c0d
jenkins permission for performing git push operation for new tag creation,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called.",5b3470df8982d029e48a4c0d
how to enable jenkins while doing artifactory release staging build ,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called.",5b3470df8982d029e48a4c0d
get jenkins access for performing git push operation,"Every activity in Jenkins is been carried by “dftjenkins” generic user

**) Your repository hosted in gitscm.cisco.com, do have provisioned for read only with “dftjenkins” users. So is the reason, when Jenkins build tries for any git push from build, it failed.

**) If you want this git push and tag creation to happen, you have to provide the “dftjenkins” generic user provisioned for your repository with Read/Write permission.

NOTE: Post this change, Jenkins will be authorized to commit your code for every build when any git operation will get called.",5b3470df8982d029e48a4c0d
Unable to access Workspace in Jenkins,"Issue Description:
Issue with “slave Jenkins are getting channel disconnection” and failing the build for accessing the slave workspace content and build gets stuck.
Resolution:
Please disconnect the slave and launch it again from Jenkins UI to fix this issue. Please reach out to code-support(mailer list)",5b3470df8982d029e48a4c0d
Could not access workspace,"Issue Description:
Issue with “slave Jenkins are getting channel disconnection” and failing the build for accessing the slave workspace content and build gets stuck.
Resolution:
Please disconnect the slave and launch it again from Jenkins UI to fix this issue. Please reach out to code-support(mailer list)",5b3470df8982d029e48a4c0d
Do not have permissions for workspace,"Issue Description:
Issue with “slave Jenkins are getting channel disconnection” and failing the build for accessing the slave workspace content and build gets stuck.
Resolution:
Please disconnect the slave and launch it again from Jenkins UI to fix this issue. Please reach out to code-support(mailer list)",5b3470df8982d029e48a4c0d
How can I get access for workspace,"Issue Description:
Issue with “slave Jenkins are getting channel disconnection” and failing the build for accessing the slave workspace content and build gets stuck.
Resolution:
Please disconnect the slave and launch it again from Jenkins UI to fix this issue. Please reach out to code-support(mailer list)",5b3470df8982d029e48a4c0d
How to give permissions for workspace,"Issue Description:
Issue with “slave Jenkins are getting channel disconnection” and failing the build for accessing the slave workspace content and build gets stuck.
Resolution:
Please disconnect the slave and launch it again from Jenkins UI to fix this issue. Please reach out to code-support(mailer list)",5b3470df8982d029e48a4c0d
How to give group access for workspace,"Issue Description:
Issue with “slave Jenkins are getting channel disconnection” and failing the build for accessing the slave workspace content and build gets stuck.
Resolution:
Please disconnect the slave and launch it again from Jenkins UI to fix this issue. Please reach out to code-support(mailer list)",5b3470df8982d029e48a4c0d
Unable to access Git repo (Permission issue),Make sure that GIT URL starts with https or ssh. (Or) Need to add “dftjenkins”/jenkins-ci.gen group in Bitbucket in project permissions. If this won’t be added then there will be no connection between Jenkins and Bitbucket,5b3470df8982d029e48a4c0d
How to access GIT repo,Make sure that GIT URL starts with https or ssh. (Or) Need to add “dftjenkins”/jenkins-ci.gen group in Bitbucket in project permissions. If this won’t be added then there will be no connection between Jenkins and Bitbucket,5b3470df8982d029e48a4c0d
How can I get access for repo,Make sure that GIT URL starts with https or ssh. (Or) Need to add “dftjenkins”/jenkins-ci.gen group in Bitbucket in project permissions. If this won’t be added then there will be no connection between Jenkins and Bitbucket,5b3470df8982d029e48a4c0d
Repo permissions issue,Make sure that GIT URL starts with https or ssh. (Or) Need to add “dftjenkins”/jenkins-ci.gen group in Bitbucket in project permissions. If this won’t be added then there will be no connection between Jenkins and Bitbucket,5b3470df8982d029e48a4c0d
How to give GIT repo access,Make sure that GIT URL starts with https or ssh. (Or) Need to add “dftjenkins”/jenkins-ci.gen group in Bitbucket in project permissions. If this won’t be added then there will be no connection between Jenkins and Bitbucket,5b3470df8982d029e48a4c0d
How to give group access for GIT repo,Make sure that GIT URL starts with https or ssh. (Or) Need to add “dftjenkins”/jenkins-ci.gen group in Bitbucket in project permissions. If this won’t be added then there will be no connection between Jenkins and Bitbucket,5b3470df8982d029e48a4c0d
Unwanted war file attached with tar.gz,"Please ""Wipe out the workspace"" and then unwanted war file(s) will be removed.",5b3470df8982d029e48a4c0d
Unwanted war file issue,"Please ""Wipe out the workspace"" and then unwanted war file(s) will be removed.",5b3470df8982d029e48a4c0d
How to remove war file,"Please ""Wipe out the workspace"" and then unwanted war file(s) will be removed.",5b3470df8982d029e48a4c0d
How to delete war file from .gz,"Please ""Wipe out the workspace"" and then unwanted war file(s) will be removed.",5b3470df8982d029e48a4c0d
Remove file from .gz,"Please ""Wipe out the workspace"" and then unwanted war file(s) will be removed.",5b3470df8982d029e48a4c0d
Unable to remove generated war file,"Please ""Wipe out the workspace"" and then unwanted war file(s) will be removed.",5b3470df8982d029e48a4c0d
delete war file,"Please ""Wipe out the workspace"" and then unwanted war file(s) will be removed.",5b3470df8982d029e48a4c0d
delete file from gz,"Please ""Wipe out the workspace"" and then unwanted war file(s) will be removed.",5b3470df8982d029e48a4c0d
could not delete file from .gz,"Please ""Wipe out the workspace"" and then unwanted war file(s) will be removed.",5b3470df8982d029e48a4c0d
Unable to build the project as user doesn't have build access,"Project needs to be configured with project admin/developer access & user should be part of Active directory (AD) group.
For creating a new AD group, please find the below steps:-
1. Please go to URL: https://ds-web.cisco.com/OPDATA/ActiveDirectory/adam/index.pmcgi 
2. Ensure that the forest is “cisco.com”. If not, you can change it by selecting the dropdown on the top-left corner of the page
3. In the menu on the left, go to Group and click on Create. Fill in the details and your group will be created in an hour’s time. 
If User ADAM group is present then add the user ADAM groups in Groups specifying the Administrator and Developer roles.
Please refer below url for details, https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Unable_to_build_the_project_as_user_doesnt_have_build_access",5b3470df8982d029e48a4c0d
No access for build,"Project needs to be configured with project admin/developer access & user should be part of Active directory (AD) group.
For creating a new AD group, please find the below steps:-
1. Please go to URL: https://ds-web.cisco.com/OPDATA/ActiveDirectory/adam/index.pmcgi 
2. Ensure that the forest is “cisco.com”. If not, you can change it by selecting the dropdown on the top-left corner of the page
3. In the menu on the left, go to Group and click on Create. Fill in the details and your group will be created in an hour’s time. 
If User ADAM group is present then add the user ADAM groups in Groups specifying the Administrator and Developer roles.
Please refer below url for details, https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Unable_to_build_the_project_as_user_doesnt_have_build_access",5b3470df8982d029e48a4c0d
How can I get build access,"Project needs to be configured with project admin/developer access & user should be part of Active directory (AD) group.
For creating a new AD group, please find the below steps:-
1. Please go to URL: https://ds-web.cisco.com/OPDATA/ActiveDirectory/adam/index.pmcgi 
2. Ensure that the forest is “cisco.com”. If not, you can change it by selecting the dropdown on the top-left corner of the page
3. In the menu on the left, go to Group and click on Create. Fill in the details and your group will be created in an hour’s time. 
If User ADAM group is present then add the user ADAM groups in Groups specifying the Administrator and Developer roles.
Please refer below url for details, https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Unable_to_build_the_project_as_user_doesnt_have_build_access",5b3470df8982d029e48a4c0d
How to give buid access,"Project needs to be configured with project admin/developer access & user should be part of Active directory (AD) group.
For creating a new AD group, please find the below steps:-
1. Please go to URL: https://ds-web.cisco.com/OPDATA/ActiveDirectory/adam/index.pmcgi 
2. Ensure that the forest is “cisco.com”. If not, you can change it by selecting the dropdown on the top-left corner of the page
3. In the menu on the left, go to Group and click on Create. Fill in the details and your group will be created in an hour’s time. 
If User ADAM group is present then add the user ADAM groups in Groups specifying the Administrator and Developer roles.
Please refer below url for details, https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Unable_to_build_the_project_as_user_doesnt_have_build_access",5b3470df8982d029e48a4c0d
build permission issue,"Project needs to be configured with project admin/developer access & user should be part of Active directory (AD) group.
For creating a new AD group, please find the below steps:-
1. Please go to URL: https://ds-web.cisco.com/OPDATA/ActiveDirectory/adam/index.pmcgi 
2. Ensure that the forest is “cisco.com”. If not, you can change it by selecting the dropdown on the top-left corner of the page
3. In the menu on the left, go to Group and click on Create. Fill in the details and your group will be created in an hour’s time. 
If User ADAM group is present then add the user ADAM groups in Groups specifying the Administrator and Developer roles.
Please refer below url for details, https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Unable_to_build_the_project_as_user_doesnt_have_build_access",5b3470df8982d029e48a4c0d
Project build issue,"Project needs to be configured with project admin/developer access & user should be part of Active directory (AD) group.
For creating a new AD group, please find the below steps:-
1. Please go to URL: https://ds-web.cisco.com/OPDATA/ActiveDirectory/adam/index.pmcgi 
2. Ensure that the forest is “cisco.com”. If not, you can change it by selecting the dropdown on the top-left corner of the page
3. In the menu on the left, go to Group and click on Create. Fill in the details and your group will be created in an hour’s time. 
If User ADAM group is present then add the user ADAM groups in Groups specifying the Administrator and Developer roles.
Please refer below url for details, https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Unable_to_build_the_project_as_user_doesnt_have_build_access",5b3470df8982d029e48a4c0d
getting access to build,"Project needs to be configured with project admin/developer access & user should be part of Active directory (AD) group.
For creating a new AD group, please find the below steps:-
1. Please go to URL: https://ds-web.cisco.com/OPDATA/ActiveDirectory/adam/index.pmcgi 
2. Ensure that the forest is “cisco.com”. If not, you can change it by selecting the dropdown on the top-left corner of the page
3. In the menu on the left, go to Group and click on Create. Fill in the details and your group will be created in an hour’s time. 
If User ADAM group is present then add the user ADAM groups in Groups specifying the Administrator and Developer roles.
Please refer below url for details, https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Unable_to_build_the_project_as_user_doesnt_have_build_access",5b3470df8982d029e48a4c0d
How to prevent downloading redundant dependency jar( javax.servlet-api 3.0.1) when projects using eslogger-client custom jar in pom.xml.,"Please go through below steps,
1. If this dependency is not required, Please remove this from lib module of pom.xml file.
2. If this required, Please exclude servlet-api-3.0.1.jar from dependency as below.
3. You can keep this dependency as is in lib module of pom.xml and exclude javax.servlet:javax.servlet-api-3.0.1.jar in your war pom.xml
Please go to below URL for details: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_How_to_prevent_downloading_redundant_dependency_jar_javaxservletapi_301_when_projects_using_esloggerclient_custom_jar_in_pomxml",5b3470df8982d029e48a4c0d
redundant jar issue,"Please go through below steps,
1. If this dependency is not required, Please remove this from lib module of pom.xml file.
2. If this required, Please exclude servlet-api-3.0.1.jar from dependency as below.
3. You can keep this dependency as is in lib module of pom.xml and exclude javax.servlet:javax.servlet-api-3.0.1.jar in your war pom.xml
Please go to below URL for details: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_How_to_prevent_downloading_redundant_dependency_jar_javaxservletapi_301_when_projects_using_esloggerclient_custom_jar_in_pomxml",5b3470df8982d029e48a4c0d
How can we avoid duplicate jar dependencies,"Please go through below steps,
1. If this dependency is not required, Please remove this from lib module of pom.xml file.
2. If this required, Please exclude servlet-api-3.0.1.jar from dependency as below.
3. You can keep this dependency as is in lib module of pom.xml and exclude javax.servlet:javax.servlet-api-3.0.1.jar in your war pom.xml
Please go to below URL for details: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_How_to_prevent_downloading_redundant_dependency_jar_javaxservletapi_301_when_projects_using_esloggerclient_custom_jar_in_pomxml",5b3470df8982d029e48a4c0d
Redundancy for client custom jars,"Please go through below steps,
1. If this dependency is not required, Please remove this from lib module of pom.xml file.
2. If this required, Please exclude servlet-api-3.0.1.jar from dependency as below.
3. You can keep this dependency as is in lib module of pom.xml and exclude javax.servlet:javax.servlet-api-3.0.1.jar in your war pom.xml
Please go to below URL for details: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_How_to_prevent_downloading_redundant_dependency_jar_javaxservletapi_301_when_projects_using_esloggerclient_custom_jar_in_pomxml",5b3470df8982d029e48a4c0d
How can we avoid redundant custom jars,"Please go through below steps,
1. If this dependency is not required, Please remove this from lib module of pom.xml file.
2. If this required, Please exclude servlet-api-3.0.1.jar from dependency as below.
3. You can keep this dependency as is in lib module of pom.xml and exclude javax.servlet:javax.servlet-api-3.0.1.jar in your war pom.xml
Please go to below URL for details: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_How_to_prevent_downloading_redundant_dependency_jar_javaxservletapi_301_when_projects_using_esloggerclient_custom_jar_in_pomxml",5b3470df8982d029e48a4c0d
How can we remove repeated depandencies,"Please go through below steps,
1. If this dependency is not required, Please remove this from lib module of pom.xml file.
2. If this required, Please exclude servlet-api-3.0.1.jar from dependency as below.
3. You can keep this dependency as is in lib module of pom.xml and exclude javax.servlet:javax.servlet-api-3.0.1.jar in your war pom.xml
Please go to below URL for details: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_How_to_prevent_downloading_redundant_dependency_jar_javaxservletapi_301_when_projects_using_esloggerclient_custom_jar_in_pomxml",5b3470df8982d029e48a4c0d
can we avoid downloading duplicate dependency jars,"Please go through below steps,
1. If this dependency is not required, Please remove this from lib module of pom.xml file.
2. If this required, Please exclude servlet-api-3.0.1.jar from dependency as below.
3. You can keep this dependency as is in lib module of pom.xml and exclude javax.servlet:javax.servlet-api-3.0.1.jar in your war pom.xml
Please go to below URL for details: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_How_to_prevent_downloading_redundant_dependency_jar_javaxservletapi_301_when_projects_using_esloggerclient_custom_jar_in_pomxml",5b3470df8982d029e48a4c0d
Project is not displayed in Continuous Delivery Dashboard,"For the project to be displayed in CDD dashboard,the project path should be in a standard format which is :
Jenkins-->Track name-->Sub folder-->Release folder-->Project name
",5b3470df8982d029e48a4c0d
Cannot see project from dashboard,"For the project to be displayed in CDD dashboard,the project path should be in a standard format which is :
Jenkins-->Track name-->Sub folder-->Release folder-->Project name
",5b3470df8982d029e48a4c0d
Project is not visible from dashboard,"For the project to be displayed in CDD dashboard,the project path should be in a standard format which is :
Jenkins-->Track name-->Sub folder-->Release folder-->Project name
",5b3470df8982d029e48a4c0d
Dashboard project visibility,"For the project to be displayed in CDD dashboard,the project path should be in a standard format which is :
Jenkins-->Track name-->Sub folder-->Release folder-->Project name
",5b3470df8982d029e48a4c0d
Project not there in CDD,"For the project to be displayed in CDD dashboard,the project path should be in a standard format which is :
Jenkins-->Track name-->Sub folder-->Release folder-->Project name
",5b3470df8982d029e48a4c0d
What can I do to see the project from CDD,"For the project to be displayed in CDD dashboard,the project path should be in a standard format which is :
Jenkins-->Track name-->Sub folder-->Release folder-->Project name
",5b3470df8982d029e48a4c0d
Visibility of project from CDD,"For the project to be displayed in CDD dashboard,the project path should be in a standard format which is :
Jenkins-->Track name-->Sub folder-->Release folder-->Project name
",5b3470df8982d029e48a4c0d
Not able to download jars from artifactory location while building the project,"Please check the URL: https://cisco.jiveon.com/docs/DOC-45943 if required, jars are added into artifactory.
For further concerns on artifactory, Kindly contact SRA team (sra-sdaas-support@cisco.com).",5b3470df8982d029e48a4c0d
Unable to download jars,"Please check the URL: https://cisco.jiveon.com/docs/DOC-45943 if required, jars are added into artifactory.
For further concerns on artifactory, Kindly contact SRA team (sra-sdaas-support@cisco.com).",5b3470df8982d029e48a4c0d
How to download jars while building,"Please check the URL: https://cisco.jiveon.com/docs/DOC-45943 if required, jars are added into artifactory.
For further concerns on artifactory, Kindly contact SRA team (sra-sdaas-support@cisco.com).",5b3470df8982d029e48a4c0d
downloading jars from artifactory location,"Please check the URL: https://cisco.jiveon.com/docs/DOC-45943 if required, jars are added into artifactory.
For further concerns on artifactory, Kindly contact SRA team (sra-sdaas-support@cisco.com).",5b3470df8982d029e48a4c0d
Issue with downloading jars while building project,"Please check the URL: https://cisco.jiveon.com/docs/DOC-45943 if required, jars are added into artifactory.
For further concerns on artifactory, Kindly contact SRA team (sra-sdaas-support@cisco.com).",5b3470df8982d029e48a4c0d
"Deployment is not happening post Jenkins build, whats wrong?","There could be many reasons for for the deployment not taking place post Jenkins build. Those can be:

File type not available: Jenkins not creating the expected file format for the actual deployment to tale place from UDEPLOY tool like *.tar.gz/*.ear/pom.xml file. Please make sure your build is creating the required file type as final package for same. How to create tar.gz file for your project is discussed in another section below.ArtifactID and GroupID definition: User need to make sure, the artifactID and groupID are same as defined in the udeploy configuration of the application. Then only Jenkins will be able to deploy the artifact (the created package) in correct folder under artifactory location. If artifactID or groupID are not matching as with udeploy configuration, the Udeploy will not be able to pick the package for deployment.
Jenkins build is good, my artifactID and groupID are correct, what next now?
Reach out to sra-support@cisco.com team for more details/issues from UDeploy tool.",5b3470df8982d029e48a4c0d
Post build deployment issue,"There could be many reasons for for the deployment not taking place post Jenkins build. Those can be:

File type not available: Jenkins not creating the expected file format for the actual deployment to tale place from UDEPLOY tool like *.tar.gz/*.ear/pom.xml file. Please make sure your build is creating the required file type as final package for same. How to create tar.gz file for your project is discussed in another section below.ArtifactID and GroupID definition: User need to make sure, the artifactID and groupID are same as defined in the udeploy configuration of the application. Then only Jenkins will be able to deploy the artifact (the created package) in correct folder under artifactory location. If artifactID or groupID are not matching as with udeploy configuration, the Udeploy will not be able to pick the package for deployment.
Jenkins build is good, my artifactID and groupID are correct, what next now?
Reach out to sra-support@cisco.com team for more details/issues from UDeploy tool.",5b3470df8982d029e48a4c0d
Could not deploy after the project build,"There could be many reasons for for the deployment not taking place post Jenkins build. Those can be:

File type not available: Jenkins not creating the expected file format for the actual deployment to tale place from UDEPLOY tool like *.tar.gz/*.ear/pom.xml file. Please make sure your build is creating the required file type as final package for same. How to create tar.gz file for your project is discussed in another section below.ArtifactID and GroupID definition: User need to make sure, the artifactID and groupID are same as defined in the udeploy configuration of the application. Then only Jenkins will be able to deploy the artifact (the created package) in correct folder under artifactory location. If artifactID or groupID are not matching as with udeploy configuration, the Udeploy will not be able to pick the package for deployment.
Jenkins build is good, my artifactID and groupID are correct, what next now?
Reach out to sra-support@cisco.com team for more details/issues from UDeploy tool.",5b3470df8982d029e48a4c0d
How can I deploy after the Jenkins build,"There could be many reasons for for the deployment not taking place post Jenkins build. Those can be:

File type not available: Jenkins not creating the expected file format for the actual deployment to tale place from UDEPLOY tool like *.tar.gz/*.ear/pom.xml file. Please make sure your build is creating the required file type as final package for same. How to create tar.gz file for your project is discussed in another section below.ArtifactID and GroupID definition: User need to make sure, the artifactID and groupID are same as defined in the udeploy configuration of the application. Then only Jenkins will be able to deploy the artifact (the created package) in correct folder under artifactory location. If artifactID or groupID are not matching as with udeploy configuration, the Udeploy will not be able to pick the package for deployment.
Jenkins build is good, my artifactID and groupID are correct, what next now?
Reach out to sra-support@cisco.com team for more details/issues from UDeploy tool.",5b3470df8982d029e48a4c0d
Issue with deploying post build,"There could be many reasons for for the deployment not taking place post Jenkins build. Those can be:

File type not available: Jenkins not creating the expected file format for the actual deployment to tale place from UDEPLOY tool like *.tar.gz/*.ear/pom.xml file. Please make sure your build is creating the required file type as final package for same. How to create tar.gz file for your project is discussed in another section below.ArtifactID and GroupID definition: User need to make sure, the artifactID and groupID are same as defined in the udeploy configuration of the application. Then only Jenkins will be able to deploy the artifact (the created package) in correct folder under artifactory location. If artifactID or groupID are not matching as with udeploy configuration, the Udeploy will not be able to pick the package for deployment.
Jenkins build is good, my artifactID and groupID are correct, what next now?
Reach out to sra-support@cisco.com team for more details/issues from UDeploy tool.",5b3470df8982d029e48a4c0d
Artifact deploy issue,"There could be many reasons for for the deployment not taking place post Jenkins build. Those can be:

File type not available: Jenkins not creating the expected file format for the actual deployment to tale place from UDEPLOY tool like *.tar.gz/*.ear/pom.xml file. Please make sure your build is creating the required file type as final package for same. How to create tar.gz file for your project is discussed in another section below.ArtifactID and GroupID definition: User need to make sure, the artifactID and groupID are same as defined in the udeploy configuration of the application. Then only Jenkins will be able to deploy the artifact (the created package) in correct folder under artifactory location. If artifactID or groupID are not matching as with udeploy configuration, the Udeploy will not be able to pick the package for deployment.
Jenkins build is good, my artifactID and groupID are correct, what next now?
Reach out to sra-support@cisco.com team for more details/issues from UDeploy tool.",5b3470df8982d029e48a4c0d
Issue with Artifact deployment by jenkins,"There could be many reasons for for the deployment not taking place post Jenkins build. Those can be:

File type not available: Jenkins not creating the expected file format for the actual deployment to tale place from UDEPLOY tool like *.tar.gz/*.ear/pom.xml file. Please make sure your build is creating the required file type as final package for same. How to create tar.gz file for your project is discussed in another section below.ArtifactID and GroupID definition: User need to make sure, the artifactID and groupID are same as defined in the udeploy configuration of the application. Then only Jenkins will be able to deploy the artifact (the created package) in correct folder under artifactory location. If artifactID or groupID are not matching as with udeploy configuration, the Udeploy will not be able to pick the package for deployment.
Jenkins build is good, my artifactID and groupID are correct, what next now?
Reach out to sra-support@cisco.com team for more details/issues from UDeploy tool.",5b3470df8982d029e48a4c0d
"Am not able to see config/build options in Jenkins, what should I do ?","You may want to check what access provision has been done for you, to access the Jenkins job content. Since Jenkins job access always got provisioned with provided AD groups during it's creation, check with those provisioned AD groups, if you are part of any of those. You need to be part of GroupAdmin for having the ""Configure"" and ""Build Now"" option, and part of ""developers"" group for ""Build Now"" option.
You can verify this either by going in ""Groups"" option in your left column of page, or by contacting your ""Project Lead/Srum-Master or Manager"".
If you are not part of any of those AD group, get yourself added to any one of them depending on your profile requirement from https://adam.cisco.com, search for the group and request for it's membership.
Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Am_not_able_to_see_configbuild_options_in_Jenkins_what_should_I_do_ for further details.
",5b3470df8982d029e48a4c0d
Could not see build options ,"You may want to check what access provision has been done for you, to access the Jenkins job content. Since Jenkins job access always got provisioned with provided AD groups during it's creation, check with those provisioned AD groups, if you are part of any of those. You need to be part of GroupAdmin for having the ""Configure"" and ""Build Now"" option, and part of ""developers"" group for ""Build Now"" option.
You can verify this either by going in ""Groups"" option in your left column of page, or by contacting your ""Project Lead/Srum-Master or Manager"".
If you are not part of any of those AD group, get yourself added to any one of them depending on your profile requirement from https://adam.cisco.com, search for the group and request for it's membership.
Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Am_not_able_to_see_configbuild_options_in_Jenkins_what_should_I_do_ for further details.
",5b3470df8982d029e48a4c0d
Config options are not visible,"You may want to check what access provision has been done for you, to access the Jenkins job content. Since Jenkins job access always got provisioned with provided AD groups during it's creation, check with those provisioned AD groups, if you are part of any of those. You need to be part of GroupAdmin for having the ""Configure"" and ""Build Now"" option, and part of ""developers"" group for ""Build Now"" option.
You can verify this either by going in ""Groups"" option in your left column of page, or by contacting your ""Project Lead/Srum-Master or Manager"".
If you are not part of any of those AD group, get yourself added to any one of them depending on your profile requirement from https://adam.cisco.com, search for the group and request for it's membership.
Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Am_not_able_to_see_configbuild_options_in_Jenkins_what_should_I_do_ for further details.
",5b3470df8982d029e48a4c0d
Issue with config or build options,"You may want to check what access provision has been done for you, to access the Jenkins job content. Since Jenkins job access always got provisioned with provided AD groups during it's creation, check with those provisioned AD groups, if you are part of any of those. You need to be part of GroupAdmin for having the ""Configure"" and ""Build Now"" option, and part of ""developers"" group for ""Build Now"" option.
You can verify this either by going in ""Groups"" option in your left column of page, or by contacting your ""Project Lead/Srum-Master or Manager"".
If you are not part of any of those AD group, get yourself added to any one of them depending on your profile requirement from https://adam.cisco.com, search for the group and request for it's membership.
Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Am_not_able_to_see_configbuild_options_in_Jenkins_what_should_I_do_ for further details.
",5b3470df8982d029e48a4c0d
Unable to see config options in Jenkins,"You may want to check what access provision has been done for you, to access the Jenkins job content. Since Jenkins job access always got provisioned with provided AD groups during it's creation, check with those provisioned AD groups, if you are part of any of those. You need to be part of GroupAdmin for having the ""Configure"" and ""Build Now"" option, and part of ""developers"" group for ""Build Now"" option.
You can verify this either by going in ""Groups"" option in your left column of page, or by contacting your ""Project Lead/Srum-Master or Manager"".
If you are not part of any of those AD group, get yourself added to any one of them depending on your profile requirement from https://adam.cisco.com, search for the group and request for it's membership.
Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Am_not_able_to_see_configbuild_options_in_Jenkins_what_should_I_do_ for further details.
",5b3470df8982d029e48a4c0d
