storyName,intentName,apiTrigger,labeledSentences,speechResponse,parameters
How do I create Generic user id for accessing Doc Central services,faq_intent,FALSE,How do I create Generic user id for accessing Doc Central services,Go to the link  adam.cisco.com and create a generic user id for your application. For e.g. abc.gen,
What forests I need to include so that my generic user id will get Sync with for Doc Central and Doc Exchange stage/prod?,faq_intent,FALSE,What forests I need to include so that my generic user id will get Sync with for Doc Central and Doc Exchange stage/prod?,"a. For Dev/Stage – dsxstage.cisco.com
b. For Prod  – dsx.cisco.com",
"I am not able to login to Doc Central/Exchange stage or prod even after adding the forests, what should I do?",faq_intent,FALSE,"I am not able to login to Doc Central/Exchange stage or prod even after adding the forests, what should I do?","Reset the password for each forest individually (stage/prod) in adam.cisco.com. After resetting password, wait for 10-15 min to get the password sync with Doc Central and Doc Exchange.
If the issue still persist after going through steps 1-3 above, then please reach out to Doc Central/Exchange Web Service team by emailing alfresco-web-services-team(mailer list).",
"I currently have a web service integration with Cisco Docs (Internal or external), where can I go to find out more about the content timelines & details?",faq_intent,FALSE,"I currently have a web service integration with Cisco Docs (Internal or external), where can I go to find out more about the content timelines & details?","Content Migration Timelines & Details can be found <a href=""http://go2.cisco.com/edcs-migration"" target=_blank>here.</a>  If you have an existing Web Service integration with one of these systems (EDCS, Cisco Docs, or Cisco Docs External), the content migration dates indicate when YOUR application integration must be tested and running in PROD to avoid disruption in your service.",
Is there a cost for application teams to integrate with Doc Central or Doc Exchange?,faq_intent,FALSE,Is there a cost for application teams to integrate with Doc Central or Doc Exchange?,"If you do not have a legacy integration with EDCS, Cisco Docs, or Cisco Docs External, there will be an on-going $995 / quarter cost for any NEW integration.  This includes the initial setup and on-going support.  NOTE: additional fees may apply if your team requires enhancements or P1 support.",
Doc Central / Doc Exchange Web Services: Engagement & Setup,faq_intent,FALSE,Doc Central / Doc Exchange Web Services: Engagement & Setup,"Click <a href=""https://cisco.jiveon.com/docs/DOC-81626"" target=_blank> here.</a>",
CiscoDocs Migration status or schedule,faq_intent,FALSE,CiscoDocs Migration status or schedule,"Clieck <a href=""https://cisco.jiveon.com/groups/doc-central-doc-exchange/pages/migration#jive_content_id_Cisco_Docs_Migration_Schedule_by_folder"" target=_blank> here</a>",
DocExchange services setup,faq_intent,FALSE,DocExchange services setup,"Please Click <a href=""https://cisco.jiveon.com/docs/DOC-1740553"" target=_blank>here</a>",
Doc Central (DocServices) Setup Steps,faq_intent,FALSE,Doc Central (DocServices) Setup Steps,"Please Click <a href=""https://cisco.jiveon.com/docs/DOC-160395"" target=_blank>here</a>",
Doc Central contacts,faq_intent,FALSE,Doc Central contacts,"Please Click <a href=""https://cisco.jiveon.com/docs/DOC-1762068#DC Contacts"" target=_blank>here</a> for detailed contact details.",
Doc Central system back up contacts,faq_intent,FALSE,Doc Central system back up contacts,"Please Click <a href=""https://cisco.jiveon.com/docs/DOC-1762068#System Contacts"" target=_blank>here</a> for detailed contact details.",
Doc Central DBA owner details,faq_intent,FALSE,Doc Central DBA owner details,"Please reach out to : pkokikon, supancha,ralshaik",
Doc Central SOC Hosting Team (DB Backups),faq_intent,FALSE,Doc Central SOC Hosting Team (DB Backups),"SOC-Hosting Team Mailer (soc-hosting@cisco.com) for DB Backups , SOC Storage Team Mailer (soc-storage@cisco.com) for Filer Snapshot",
Doc Central DIG Team (Content Store and Host Backups),faq_intent,FALSE,Doc Central DIG Team (Content Store and Host Backups),"<table style=""width:100%"" border=""1px""><tr><th>Contact</th><th>Role</th><th>Area/Responsibility</th><th>Email</th></tr><tr><td>Tim Nguyen (timngu)</td><td>Backups</td><td>Content Store and Host Backups</td><td>timngu@cisco.com</td></tr><tr><td>SOC-Hosting Team Mailer</td><td>DB Backups</td><td>DB Backups</td><td>soc-hosting@cisco.com</td></tr><tr><td>SOC Storage Team Mailer</td><td>Filer Snapshot</td><td>Filer Snapshot</td><td>soc-storage@cisco.com</td></tr></table>",
What are the key features of Doc Exchange,faq_intent,FALSE,What are the key features of Doc Exchange,"Doc Exchange allows you to securely:
Share files that are classified as Cisco Public, Cisco Confidential and Cisco Highly Confidential with external users outside of Cisco firewall having CCO login credentials
Allow external users to upload content and collaborate
Publish and un-publish files instantly
Set expiration date for a published content
Generate reports to monitor file share activity
Transfer files up to 500MB in size
Enable domain validation (@customer name.com) to only allow users with a predefined domain on their CCO account to access files
Manage access privileges for files and folders for viewing, downloading & editing
Allow external users to participate in an approval workflow and allow them to provide feedback
Automated e-mail notifications about published content and approval workflows
Auto-publish approved content
Support most common Mime types and file formats
 ",
How do I request help,faq_intent,FALSE,How do I request help,"Use the Remedy system to get support for Doc Exchange.
Open Remedy (link will take you to Doc Exchange Support Requests) 
Login with your CEC credentials",
What types of files can I store in Doc Exchange,faq_intent,FALSE,What types of files can I store in Doc Exchange,"Doc Exchange will store most any file type.  We do however ask that you do not upload video files due to their size.  After upload, Microsoft Office document types can be previewed in the browser window.",
What file extension types can be previewed in Doc Exchange,faq_intent,FALSE,What file extension types can be previewed in Doc Exchange,Any Microsoft Office document can be previewed in Doc Exchange using an approved browser unless the file is either locked down with no view permissions or it exceeds the preview limit.  Currently these limits vary depending on the file type,
What is the maximum size of the file you can upload to Doc Exchange,faq_intent,FALSE,What is the maximum size of the file you can upload to Doc Exchange,Doc Exchange currently support files up to 500 MB. In locations with higher network speeds like US files of up to 1 GB may be uploaded.,
Where do I upload files larger than 500MB,faq_intent,FALSE,Where do I upload files larger than 500MB,"According to the File Transfer Tools Matrix, Cisco File Transfer Services should be used to exchange files that are larger than 500MB in size. Please go here for more information: http://wwwin.cisco.com/c/cec/organizations/cisco-services/resources/data-protection/file-xfer.html ",
How can I add content directly to Doc Exchange,faq_intent,FALSE,How can I add content directly to Doc Exchange,"A user with editor permission to a file can upload a new version of a file using the upload new version icon.
A user with editor permission to a folder can upload a new file to that folder using the upload icon.",
Is there an API available to interface with Doc Exchange,faq_intent,FALSE,Is there an API available to interface with Doc Exchange,There is a RESTful API available.  This API will allow you to interface with the Doc Exchange application and perform basic operations.  For more information visit our Doc Central / Doc Exchange Web Services: Setup & Engagement page.,
Where can I find more information on Vera and Information Rights Management (IRM),faq_intent,FALSE,Where can I find more information on Vera and Information Rights Management (IRM),"A Quick Start Guide for IRM on Doc Exchange can be found here:
https://cisco.jiveon.com/docs/DOC-1647132
 
Other general information about Vera can be found here:
Jive ----- https://cisco.jiveon.com/groups/information-rights-management
Wiki ---- https://wiki.cisco.com/display/IRM/IRM+DATA+SECURITY+Home",
How do I download multiple files at once,faq_intent,FALSE,How do I download multiple files at once,"Select the checkbox next to each file or folder of files you want to download and then click on the download icon that will appear just underneath the search box.
",
Who can be the approver for Doc Exchange workflow,faq_intent,FALSE,Who can be the approver for Doc Exchange workflow,Any user with reader privilege on a file can be an approver of a Doc Exchange workflow,
How do I add external users to my folder or files,faq_intent,FALSE,How do I add external users to my folder or files,"1.The user's email domain must first be included in the corresponding folder. Click on the folder permissions icon for the folder you wish to update
2. Click on the +Update Email Domain button in the folder permissions page in the top right hand corner
3. Click the edit button to edit the list of email domains of users that can be added to this folder and any files contained in it.
4. Add or remove the email domain of any users you wish to add. Note: cisco.com is mandatory and cannot be removed.
5. Click Save to save your changes and then OK to close the + Update Email Domain dialog box.
6. Within the folder or individual file permissions pages, you may now search for any CCO user id that can be found in any of your specified email domains.
(Internal User: Must be a Cisco.com user)
(External User: Must have a CCO account)
Either the user ID or Full Name can be entered

Select the appropriate role (Viewer, Reader, Editor, Folder Admin)
Viewer = Preview documents
Reader = Preview and Download documents
Editor = Preview, Download and Upload documents
Folder Admin = Cisco.com employee’s only
7. Once you have added all external users, click the Save button to save your changes to the file or folder permissions.",
How can a folder admin remove Internal & External Users,faq_intent,FALSE,How can a folder admin remove Internal & External Users,"Doc Exchange folder admins can manage users in Doc Exchange folders. To remove users:
   1.Follow steps 1 & 2 above (Doc Exchange – Folder Permissions / Adding Internal & External Users)
   2.Remove users via selection of the red [X] (*) DO NOT REMOVE YOURSELF FROM THIS LIST!
     
 
   3.  Complete the Folder Permissions process and select the I Agree box.
   4.  Select the [Save] option to complete the folder permission process modification",
What is the Domain Mapping feature,faq_intent,FALSE,What is the Domain Mapping feature,"Domain Mapping is a feature in Doc Exchange and Doc Central folders that will limit publishing of content to users of a set domain. For example if you set domain.com as the allowed domain on a folder, you will only be able to publish files to users who have domain.com as their domain in their Cisco profile.
System will also check the domain when a user tries to access a file and will be able to access the file only if the domains match. This is an optional feature.
Domain Mapping is managed by the folder admin. Folder admins can go to Folder Properties in Doc Central or Doc Exchange and manage the domains in the folder.
 ",
How can I view/edit file properties,faq_intent,FALSE,How can I view/edit file properties,"To view/edit file permissions click on the information icon in the actions column   
From the popup if you have permission you can Edit File Properties by clicking on the Edit button",
