Question,Answer
What Cisco Docs features are not yet in DocCentral,"Cisco Docs allows you to delete content.  Doc Central will add this feature, with restrictions, once we have developed and deployed the legal hold feature for Cisco's legal team.
Access reporting.  Cisco Docs provided a way to retrieve access reports on views and downloads.  We are working on adding that report feature."
Do I have an API for application Integration ,"Cisco Docs allows you to delete content.  Doc Central will add this feature, with restrictions, once we have developed and deployed the legal hold feature for Cisco's legal team.
Access reporting.  Cisco Docs provided a way to retrieve access reports on views and downloads.  We are working on adding that report feature."
Doc Central Live Support,"Click on <a href=""https://clicktochat.cloudapps.cisco.com/initiateChat.htm?appId=doc-central"" target=_blank>Doc Central Live Suppot</a>"
IT Support Management Platform Remedy,"Click on <a href=""https://itst-prd.cisco.com:5431/arsys/shared/login.jsp?/arsys/forms/itstapp/SRS:ServiceRequestConsole/?F303900000=3&F303906900=&F303906700=0&F303902000=0&F303902100=0&F303901700=doccentralsupport"" target=_blank>IT Support Management Platform Remedy_link</a>"
Doc Central application URL,"Click <a href=""https://docs-stg.cisco.com/share"" target=_blank>here</a>"
What are my post migration steps,"Migration will occur in the background during which time you will continue to work in Cisco Docs.  Based on the above freeze dates and cut over schedule, folders will be moved over and made active in Doc Central.
During the freeze period you will have read-only, download access to your Cisco Docs content.  If you have already checked out content in Cisco Docs and need to check it back in during the freeze period, wait till after the freeze period is over and perform an ""Upload New Version"" operation in Doc Central.
Content will not be moved from the temporary area unless done so by the document owner or business group Folder Admins.  This area will never be removed so technically you can keep your content here but we prefer you do not.  The idea is that you take this opportunity to organize your content and its folder structure, review the permissions for the content and then move it to the correct folder under the Documents folder tree.  If you think your content needs to be under the Documents -> Finance area ... use the Request New Folder button to get a folder where you have write access to move the folders/files into.
Your Cisco Docs content will go to a temporary folder in Doc Central (Cisco Docs and EDCS Legacy -> Cisco Docs - Migration) with the current folder structure you had in Cisco Docs intact.  From this temporary location content owners should organize and move their content to its final ""home"" somewhere outside of this area.
The only content not migrated is Cisco Docs archived content.  This content will remain in Cisco Docs for a year during which time you will be able to open a request to move it to Doc Central if needed."
Why can't I delete a document in Doc Central,"Presently the ability to delete a document has been disabled in Doc Central.  We are in the process of migrating terabytes of content from Cisco Docs, some of which are records.  Until these document migrate over and have record retention rules applied we cannot enable the delete feature.  Also there is a feature called ""legal hold"" that the Cisco legal teams need as they work on cases on behalf of Cisco.  That feature, along with records retention, needs to be in place before the delete feature can be enabled.
If you must have a document deleted here are the steps:
Mark the document as Obsolete (use Change Doc Status button).  If document is in Approval N.A. state you need to first make it Draft and then can make it Obsolete.  Making a document Obsolete will also remove it from a normal Doc Central search result (use can, in Advanced Search, search on Obsolete files).
Create a TRASH folder for your group and place your obsoleted documents you want to delete in there.
Periodically open a case to get these files removed.  We ask you not to ask every time you have a single file to delete as this process is a manual task.  The level 1 support team does not have the capability to delete files.  A Doc Central senior tech administrator needs to review the files to make sure they are OK to delete and perform the clean up.
 
In the vast majority of cases the files are ""goofs"" and easy to identify and delete.  This is a temporary process until the migration is done, records are converted and legal holds are put in place.  Estimated time of enabling the delete feature is January 2018."
"How long will the content say in this ""temporary area"" on Doc Central",Content will stay in the temporary location until it's moved or until it has reached its deletion date under the purge rule or record retention rule (depending on whether it has been designated a record or not).
How do I find my content once it is migrated,All migrated content gets placed in he same top level folder of Documents -> Legacy EDCS and Cisco Docs -> Cisco Docs - Migration.  After that level the folder structure is identical to what you are used to seeing in Cisco Docs.  An alternative method to find your documents would be to search by your userid (which is fine unless you own a lot of documents which may give you a lengthy search result).
What content is going to be migrated,"Content that will be migrated will fall into one or more of these categories:
Content that is marked as a record (records retention schedule)
Content that was created or modified with the past 3 years
Content that was downloaded in the past year
Content that is on ""legal hold"""
How to create a generic userid,"If you do not already have a generic userid, create one by going to <a href=""https://eman-ssl.cisco.com/OPDATA/ActiveDirectory/adam/index.pmcgi"" target= _blank>adm.cisco.com </a>-- select ""Generic"" -- select ""create"""
How do I create Generic user id for accessing Doc Central services,Go to the link  adam.cisco.com and create a generic user id for your application. For e.g. abc.gen
What forests I need to include so that my generic user id will get Sync with for Doc Central and Doc Exchange stage/prod?,"a. For Dev/Stage – dsxstage.cisco.com
b. For Prod  – dsx.cisco.com"
"I am not able to login to Doc Central/Exchange stage or prod even after adding the forests, what should I do?","Reset the password for each forest individually (stage/prod) in adam.cisco.com. After resetting password, wait for 10-15 min to get the password sync with Doc Central and Doc Exchange.
If the issue still persist after going through steps 1-3 above, then please reach out to Doc Central/Exchange Web Service team by emailing alfresco-web-services-team(mailer list)."
"I currently have a web service integration with Cisco Docs (Internal or external), where can I go to find out more about the content timelines & details?","Content Migration Timelines & Details can be found <a href=""http://go2.cisco.com/edcs-migration"" target=_blank>here.</a>  If you have an existing Web Service integration with one of these systems (EDCS, Cisco Docs, or Cisco Docs External), the content migration dates indicate when YOUR application integration must be tested and running in PROD to avoid disruption in your service."
Is there a cost for application teams to integrate with Doc Central or Doc Exchange?,"If you do not have a legacy integration with EDCS, Cisco Docs, or Cisco Docs External, there will be an on-going $995 / quarter cost for any NEW integration.  This includes the initial setup and on-going support.  NOTE: additional fees may apply if your team requires enhancements or P1 support."
Doc Central / Doc Exchange Web Services: Engagement & Setup,"Click <a href=""https://cisco.jiveon.com/docs/DOC-81626"" target=_blank> here.</a>"
CiscoDocs Migration status or schedule,"Clieck <a href=""https://cisco.jiveon.com/groups/doc-central-doc-exchange/pages/migration#jive_content_id_Cisco_Docs_Migration_Schedule_by_folder"" target=_blank> here</a>"
DocExchange services setup,"Please Click <a href=""https://cisco.jiveon.com/docs/DOC-1740553"" target=_blank>here</a>"
Doc Central (DocServices) Setup Steps,"Please Click <a href=""https://cisco.jiveon.com/docs/DOC-160395"" target=_blank>here</a>"
Doc Central contacts,"Please Click <a href=""https://cisco.jiveon.com/docs/DOC-1762068#DC Contacts"" target=_blank>here</a> for detailed contact details."
Doc Central search contacts,Search Level 1 Support (search-support-it@cisco.com) 
Doc Central system back up contacts,"Please Click <a href=""https://cisco.jiveon.com/docs/DOC-1762068#System Contacts"" target=_blank>here</a> for detailed contact details."
Doc Central DBA owner details,"Please reach out to : pkokikon, supancha,ralshaik"
Doc Central SOC Hosting Team (DB Backups),"SOC-Hosting Team Mailer (soc-hosting@cisco.com) for DB Backups , SOC Storage Team Mailer (soc-storage@cisco.com) for Filer Snapshot"
Doc Central DIG Team (Content Store and Host Backups),"<table style=""width:100%"" border=""1px""><tr><th>Contact</th><th>Role</th><th>Area/Responsibility</th><th>Email</th></tr><tr><td>Tim Nguyen (timngu)</td><td>Backups</td><td>Content Store and Host Backups</td><td>timngu@cisco.com</td></tr><tr><td>SOC-Hosting Team Mailer</td><td>DB Backups</td><td>DB Backups</td><td>soc-hosting@cisco.com</td></tr><tr><td>SOC Storage Team Mailer</td><td>Filer Snapshot</td><td>Filer Snapshot</td><td>soc-storage@cisco.com</td></tr></table>"
What is Doc Exchange,"Doc Exchange, is an external file sharing tool at Cisco, is available for securely sharing and exchanging files with our customers and partners. This tool is developed in partnership with Services, IT, and InfoSec to meet all Cisco Data Protection Standards and implements the features needed to securely and easily exchange highly confidential data with our customers and partners.
 
In alignment with Cisco Doc Central (EDCS next generation), this tool makes it easier for internal Cisco users to share content with customers and partners along with allowing better control over shared content. Customer and partners in turn can also upload files using this system."
What's the difference between Doc Central and Doc Exchange,"Doc Central is the eventual replacement for both EDCS and Cisco Docs. It is a content management system that will contain all of the features you have today in both systems plus new features.
Doc Exchange, is an external file sharing tool at Cisco, is available for securely sharing and exchanging files with our customers and partners. This is integrated with Doc Central and you can publish files from Doc Central to Doc Exchange for consumption by Cisco partners and customers."
What's the difference between Cisco Docs External and Doc Exchange,"Cisco Docs External is the external sharing tool for Cisco Docs and Doc Exchange is the external sharing tool for Doc Central. Both tools allow you to share content externally, but their look and feel, user experience and certain features are different."
What browsers does Doc Exchange officially support,"Doc Exchange officially supports the following browsers:
Internet Explorer 10 and 11
Google Chrome (latest version)
Firefox (latest version)
Other browsers may work fine but we only test these three so please do not open a support case if you have issues with other browsers or older versions."
How do I login to Doc Exchange,"Internal Cisco employees can log into Doc Exchange using your CEC credentials.  Doc Exchange uses Cisco's Single-Sign-On (SSO) system so once you log into an SSO supported tool you can access any other SSO tool without the need to sign in again. External partners and vendors must first request a Cisco CCO id by following these steps:
Open www.cisco.com
Click on “Register” on the Top Right side of the Screen.
Fill out the Registration Form with the business E-Mail of the User 
Click on “Submit”
The User will get a Confirmation E-Mail to their Respective E-Mail used to sign up
The User may be asked to verify the Account.
The User will then get his/her CCID to their Registered E-Mail Address
 
Once the Verification is done, Cisco employees need to wait for 24 hours before you can add that External User to your Doc Exchange Folder using the CCID.
 
To login to Doc Exchange go to https://ciscoshare.cisco.com https://docs.cisco.com/"
What are the key features of Doc Exchange,"Doc Exchange allows you to securely:
Share files that are classified as Cisco Public, Cisco Confidential and Cisco Highly Confidential with external users outside of Cisco firewall having CCO login credentials
Allow external users to upload content and collaborate
Publish and un-publish files instantly
Set expiration date for a published content
Generate reports to monitor file share activity
Transfer files up to 500MB in size
Enable domain validation (@customer name.com) to only allow users with a predefined domain on their CCO account to access files
Manage access privileges for files and folders for viewing, downloading & editing
Allow external users to participate in an approval workflow and allow them to provide feedback
Automated e-mail notifications about published content and approval workflows
Auto-publish approved content
Support most common Mime types and file formats
 "
What are the different Roles in Doc Exchange,"Viewer Role - A Viewer can preview a file online but cannot edit, download or perform any actions on it.
Reader Role - A Reader can do anything a Viewer can do plus they have the ability to download a copy of the file.
Editor Role - An Editor can perform everything a Reader can do plus editing actions such as checking a file in or out of the system and starting an approval or review workflow. If someone has the Editor role on a folder they can bring files into that folder which they will become an Owner of.
Owner Role - An Owner of a file is the user that uploaded the file into Doc Exchange repository. They can perform all Editor role actions plus edit file properties and assign roles to other users for this file. Any new file uploaded into Doc Exchange automatically gives that user the Owner role but owners can also assign other users as an Owner/Editor/Reader/Viewer as well.
Folder Admin Role – Role of a Folder Admin is to manage folders. Folder Admin's can create folders underneath the group's top level folder area, move files between these folders as well as manage permissions for any user as it pertains to these folders and files. A Folder Admin's ""job"" is to administer a group's file area, adding new users into it and managing the permissions on those users.
System Admin Role - This role is reserved for administrators of the Doc Central and Doc Exchange tool."
How do I request help,"Use the Remedy system to get support for Doc Exchange.
Open Remedy (link will take you to Doc Exchange Support Requests) 
Login with your CEC credentials"
What types of files can I store in Doc Exchange,"Doc Exchange will store most any file type.  We do however ask that you do not upload video files due to their size.  After upload, Microsoft Office document types can be previewed in the browser window."
What file extension types can be previewed in Doc Exchange,Any Microsoft Office document can be previewed in Doc Exchange using an approved browser unless the file is either locked down with no view permissions or it exceeds the preview limit.  Currently these limits vary depending on the file type
What is the maximum size of the file you can upload to Doc Exchange,Doc Exchange currently support files up to 500 MB. In locations with higher network speeds like US files of up to 1 GB may be uploaded.
Where do I upload files larger than 500MB,"According to the File Transfer Tools Matrix, Cisco File Transfer Services should be used to exchange files that are larger than 500MB in size. Please go here for more information: http://wwwin.cisco.com/c/cec/organizations/cisco-services/resources/data-protection/file-xfer.html "
How can I add content directly to Doc Exchange,"A user with editor permission to a file can upload a new version of a file using the upload new version icon.
A user with editor permission to a folder can upload a new file to that folder using the upload icon."
Is there an API available to interface with Doc Exchange,There is a RESTful API available.  This API will allow you to interface with the Doc Exchange application and perform basic operations.  For more information visit our Doc Central / Doc Exchange Web Services: Setup & Engagement page.
Where can I find more information on Vera and Information Rights Management (IRM),"A Quick Start Guide for IRM on Doc Exchange can be found here:
https://cisco.jiveon.com/docs/DOC-1647132
 
Other general information about Vera can be found here:
Jive ----- https://cisco.jiveon.com/groups/information-rights-management
Wiki ---- https://wiki.cisco.com/display/IRM/IRM+DATA+SECURITY+Home"
How do I download multiple files at once,"Select the checkbox next to each file or folder of files you want to download and then click on the download icon that will appear just underneath the search box.
"
What is a Doc Exchange workflow,A Doc Exchange workflow is an interchange workflow between internal cisco users and external cisco partner/customers/vendors. This is a parallel workflow and all the approvers receive the tasks at the same time
Who can start a Doc Exchange workflow,Only Internal Cisco employees can start a Doc Exchange Approval workflow. Start Workflow button is visible only to internal CEC users
Who can be the approver for Doc Exchange workflow,Any user with reader privilege on a file can be an approver of a Doc Exchange workflow
How can I create a new folder in Doc Exchange,"Folder Creation is limited to Folder Admins in Doc Exchange. Only internal cisco.com users can be folder admins. When you initially publish a file from Doc Central to Doc Exchange, folder admins of the Doc Central folders are copied over as folder admins of Doc Exchange folder. These folder admins can create new folders in Doc Exchange by clicking on the Create Folder Icon. At the moment root level folder creation is not allowed in Doc Exchange. https://ciscoshare.cisco.com/alfext/ui/    Highlight the folder where a new folder or sub folder is to be created and select Create Folder
Enter the folder name and the email domain(s) of all users that the folder contents are to be shared with. (Minimum entry is cisco.com if only sharing with internal Cisco users). Additional domains are required to be entered prior to adding external CCO user ids. 
Optionally add any tags or description for this new folder.
Select the [Create] option when complete"
How can an internal user add content to a Doc Exchange folder,"Highlight the folder where a new document is to be uploaded:
Drag and drop files from the local machine –or–
Select the Upload icon and browse to the new file to be uploaded

Complete the mandatory field entries on the upload file popup including the Data Classification selection. When the file name(s) turn green, check the I Agree box, and then select the [Upload All] option"
How do I add external users to my folder or files,"1.The user's email domain must first be included in the corresponding folder. Click on the folder permissions icon for the folder you wish to update
2. Click on the +Update Email Domain button in the folder permissions page in the top right hand corner
3. Click the edit button to edit the list of email domains of users that can be added to this folder and any files contained in it.
4. Add or remove the email domain of any users you wish to add. Note: cisco.com is mandatory and cannot be removed.
5. Click Save to save your changes and then OK to close the + Update Email Domain dialog box.
6. Within the folder or individual file permissions pages, you may now search for any CCO user id that can be found in any of your specified email domains.
(Internal User: Must be a Cisco.com user)
(External User: Must have a CCO account)
Either the user ID or Full Name can be entered

Select the appropriate role (Viewer, Reader, Editor, Folder Admin)
Viewer = Preview documents
Reader = Preview and Download documents
Editor = Preview, Download and Upload documents
Folder Admin = Cisco.com employee’s only
7. Once you have added all external users, click the Save button to save your changes to the file or folder permissions."
How can a folder admin remove Internal & External Users,"Doc Exchange folder admins can manage users in Doc Exchange folders. To remove users:
   1.Follow steps 1 & 2 above (Doc Exchange – Folder Permissions / Adding Internal & External Users)
   2.Remove users via selection of the red [X] (*) DO NOT REMOVE YOURSELF FROM THIS LIST!
     
 
   3.  Complete the Folder Permissions process and select the I Agree box.
   4.  Select the [Save] option to complete the folder permission process modification"
What is the Domain Mapping feature,"Domain Mapping is a feature in Doc Exchange and Doc Central folders that will limit publishing of content to users of a set domain. For example if you set domain.com as the allowed domain on a folder, you will only be able to publish files to users who have domain.com as their domain in their Cisco profile.
System will also check the domain when a user tries to access a file and will be able to access the file only if the domains match. This is an optional feature.
Domain Mapping is managed by the folder admin. Folder admins can go to Folder Properties in Doc Central or Doc Exchange and manage the domains in the folder.
 "
How can I preview or download a file,"1.Locate the document to be viewed / downloaded
2.To preview the document, select the Preview Document icon in the actions column
3.  To download the document to your local machine, select the Download icon in the actions column
 "
How can I upload a new version of a file,"1.To upload a new version of the file, select the Upload icon in the actions column
2.  From the popup: Browse to and select the new version of the document (must be same type)
3.  Update the new Expiry Date (if applicable)
4.  Select the [Upload] option"
How can I view/edit file properties,"To view/edit file permissions click on the information icon in the actions column   
From the popup if you have permission you can Edit File Properties by clicking on the Edit button"
How can I delete files,"Files can be deleted by the owner of the file or the folder admins.
Owners can delete their version of the file from the version history.
1. Click on the View More Actions icon in the actions menu and then choose Version History from the list of options:
 
2. Then click on the trash bin icon
 
Folder admins can delete multiple files and all the versions by simply selecting the files and deleting them using Delete Icon"
